review,category_sentiment,category,sentiment,cleaned_review,tokenized_words
"(-) Kamar mandi kurang bersih berkerak. Air bbrp kali mati, utamanya pas subuh.Tidak disediakan keset. Air panas unt minum ready baru jam 7. Ruangan terlalu sempit, tdk cukup space unt sholat. Sinyal hp di kamar mati suri (+) lokasi bagus, menyewakan motor, wifi  kencang",wifi_P1-pos,wifi_P1,pos,kamar mandi bersih berkerak air bbrp kali mati utamanya pas subuhtidak disediakan keset air panas unt minum ready jam ruangan sempit tdk space unt sholat sinyal hp kamar mati suri lokasi bagus menyewakan motor wifi kencang,"['kamar', 'mandi', 'bersih', 'berkerak', 'air', 'bbrp', 'kali', 'mati', 'utamanya', 'pas', 'subuhtidak', 'disediakan', 'keset', 'air', 'panas', 'unt', 'minum', 'ready', 'jam', 'ruangan', 'sempit', 'tdk', 'space', 'unt', 'sholat', 'sinyal', 'hp', 'kamar', 'mati', 'suri', 'lokasi', 'bagus', 'menyewakan', 'motor', 'wifi', 'kencang']"
"sebenarnya kamar baik tp kurang profesional, di kasih tau sarapan nasi goreng, mnta di anter jam 8.30 ehh dtg jam 9 itu pun d telpon dl dan yg dtg malah mie muah telor. hmmmmmm .",service-neg,service,neg,kamar tp profesional kasih tau sarapan nasi goreng mnta anter jam ehh dtg jam d telpon dl yg dtg mie muah telor hmmmmmm,"['kamar', 'tp', 'profesional', 'kasih', 'tau', 'sarapan', 'nasi', 'goreng', 'mnta', 'anter', 'jam', 'ehh', 'dtg', 'jam', 'd', 'telpon', 'dl', 'yg', 'dtg', 'mie', 'muah', 'telor', 'hmmmmmm']"
"AC dilantai bawah tidak nyala terpaksa pindah ke lantai 4, nyala sih tp tidak begitu dingin",ac_P1-neg,ac_P1,neg,ac dilantai nyala terpaksa pindah lantai nyala sih tp dingin,"['ac', 'dilantai', 'nyala', 'terpaksa', 'pindah', 'lantai', 'nyala', 'sih', 'tp', 'dingin']"
"Toilet flash-nya bocor, air panas untuk showernya harus menunggu lama, bed nya juga kurang bersih, d",air_panas_P1-neg,air_panas_P1,neg,toilet flashnya bocor air panas showernya menunggu bed nya bersih d,"['toilet', 'flashnya', 'bocor', 'air', 'panas', 'showernya', 'menunggu', 'bed', 'nya', 'bersih', 'd']"
"chek in nya lama skali menunggu nya,shower nya gk keluar air panas.. tp overall good lha lokasi dan tmpt makan.. ",service-neg,service,neg,chek in nya skali menunggu nyashower nya gk air panas tp overall good lha lokasi tmpt makan,"['chek', 'in', 'nya', 'skali', 'menunggu', 'nyashower', 'nya', 'gk', 'air', 'panas', 'tp', 'overall', 'good', 'lha', 'lokasi', 'tmpt', 'makan']"
"chek in nya lama skali menunggu nya,shower nya gk keluar air panas.. tp overall good lha lokasi dan tmpt makan.. ",air_panas_P1-neg,air_panas_P1,neg,chek in nya skali menunggu nyashower nya gk air panas tp overall good lha lokasi tmpt makan,"['chek', 'in', 'nya', 'skali', 'menunggu', 'nyashower', 'nya', 'gk', 'air', 'panas', 'tp', 'overall', 'good', 'lha', 'lokasi', 'tmpt', 'makan']"
"chek in nya lama skali menunggu nya,shower nya gk keluar air panas.. tp overall good lha lokasi dan tmpt makan.. ",general-pos,general,pos,chek in nya skali menunggu nyashower nya gk air panas tp overall good lha lokasi tmpt makan,"['chek', 'in', 'nya', 'skali', 'menunggu', 'nyashower', 'nya', 'gk', 'air', 'panas', 'tp', 'overall', 'good', 'lha', 'lokasi', 'tmpt', 'makan']"
"ac kurang dingin, mungkin karena udh tua kalibya.. efeknya kamar menjadi bau tidak sedap.. selebihnya sih ok",ac_P1-neg,ac_P1,neg,ac dingin udh tua kalibya efeknya kamar bau sedap selebihnya sih ok,"['ac', 'dingin', 'udh', 'tua', 'kalibya', 'efeknya', 'kamar', 'bau', 'sedap', 'selebihnya', 'sih', 'ok']"
"ac kurang dingin, mungkin karena udh tua kalibya.. efeknya kamar menjadi bau tidak sedap.. selebihnya sih ok",bau_P1-neg,bau_P1,neg,ac dingin udh tua kalibya efeknya kamar bau sedap selebihnya sih ok,"['ac', 'dingin', 'udh', 'tua', 'kalibya', 'efeknya', 'kamar', 'bau', 'sedap', 'selebihnya', 'sih', 'ok']"
"ac kurang dingin, mungkin karena udh tua kalibya.. efeknya kamar menjadi bau tidak sedap.. selebihnya sih ok",general-pos,general,pos,ac dingin udh tua kalibya efeknya kamar bau sedap selebihnya sih ok,"['ac', 'dingin', 'udh', 'tua', 'kalibya', 'efeknya', 'kamar', 'bau', 'sedap', 'selebihnya', 'sih', 'ok']"
"kamar 617 panas. hari pertama minta dibenarkan. hari kedua masih panas. komplain ke resepsionis tidak direspon oleh tim maintenance. Semalaman air conditioner tidak menyala, terpaksa buka jndela",ac_P1-neg,ac_P1,neg,kamar panas dibenarkan panas komplain resepsionis direspon tim maintenance semalaman air conditioner menyala terpaksa buka jndela,"['kamar', 'panas', 'dibenarkan', 'panas', 'komplain', 'resepsionis', 'direspon', 'tim', 'maintenance', 'semalaman', 'air', 'conditioner', 'menyala', 'terpaksa', 'buka', 'jndela']"
"kamar 617 panas. hari pertama minta dibenarkan. hari kedua masih panas. komplain ke resepsionis tidak direspon oleh tim maintenance. Semalaman air conditioner tidak menyala, terpaksa buka jndela",service-neg,service,neg,kamar panas dibenarkan panas komplain resepsionis direspon tim maintenance semalaman air conditioner menyala terpaksa buka jndela,"['kamar', 'panas', 'dibenarkan', 'panas', 'komplain', 'resepsionis', 'direspon', 'tim', 'maintenance', 'semalaman', 'air', 'conditioner', 'menyala', 'terpaksa', 'buka', 'jndela']"
"tidak ada yg berkesan. siaran TVnya tidak bagus, wifi mengalami ganguan, ",tv_P1-neg,tv_P1,neg,yg berkesan siaran tvnya bagus wifi mengalami ganguan,"['yg', 'berkesan', 'siaran', 'tvnya', 'bagus', 'wifi', 'mengalami', 'ganguan']"
"tidak ada yg berkesan. siaran TVnya tidak bagus, wifi mengalami ganguan, ",wifi_P1-neg,wifi_P1,neg,yg berkesan siaran tvnya bagus wifi mengalami ganguan,"['yg', 'berkesan', 'siaran', 'tvnya', 'bagus', 'wifi', 'mengalami', 'ganguan']"
kebersihan kamar kurang diperhatikan penerangan di kamar kurang,kebersihan-neg,kebersihan,neg,kebersihan kamar diperhatikan penerangan kamar,"['kebersihan', 'kamar', 'diperhatikan', 'penerangan', 'kamar']"
pelayan nya kurang memuaskan hanya di tnya air panas saja muka nya merengut dan secara terpaksa untuk membantu,service-neg,service,neg,pelayan nya memuaskan tnya air panas muka nya merengut terpaksa membantu,"['pelayan', 'nya', 'memuaskan', 'tnya', 'air', 'panas', 'muka', 'nya', 'merengut', 'terpaksa', 'membantu']"
"Cukup syekali. Selimut masih bau, bikin gak nyaman tidur. Yah sesuai harga lah...",linen_P1-neg,linen_P1,neg,syekali selimut bau bikin gak nyaman tidur yah sesuai harga,"['syekali', 'selimut', 'bau', 'bikin', 'gak', 'nyaman', 'tidur', 'yah', 'sesuai', 'harga']"
"AC NYA KURANG TERASA, KAMAR BOCOR, PETUGASNYA KURANG SIGAP DALAM PELAYANAN,KAMAR MANDI KURANG BERSIH  ",ac_P1-neg,ac_P1,neg,ac nya kamar bocor petugasnya sigap pelayanankamar mandi bersih,"['ac', 'nya', 'kamar', 'bocor', 'petugasnya', 'sigap', 'pelayanankamar', 'mandi', 'bersih']"
"AC NYA KURANG TERASA, KAMAR BOCOR, PETUGASNYA KURANG SIGAP DALAM PELAYANAN,KAMAR MANDI KURANG BERSIH  ",service-neg,service,neg,ac nya kamar bocor petugasnya sigap pelayanankamar mandi bersih,"['ac', 'nya', 'kamar', 'bocor', 'petugasnya', 'sigap', 'pelayanankamar', 'mandi', 'bersih']"
"AC NYA KURANG TERASA, KAMAR BOCOR, PETUGASNYA KURANG SIGAP DALAM PELAYANAN,KAMAR MANDI KURANG BERSIH  ",kebersihan-neg,kebersihan,neg,ac nya kamar bocor petugasnya sigap pelayanankamar mandi bersih,"['ac', 'nya', 'kamar', 'bocor', 'petugasnya', 'sigap', 'pelayanankamar', 'mandi', 'bersih']"
"kamar nyaman, cari makan mudah, tp ko sinyal di dalam kamar agak susah ",wifi_P1-neg,wifi_P1,neg,kamar nyaman cari makan mudah tp ko sinyal kamar susah,"['kamar', 'nyaman', 'cari', 'makan', 'mudah', 'tp', 'ko', 'sinyal', 'kamar', 'susah']"
tolong di tingkatkan kamar mandi nya,kebersihan-neg,kebersihan,neg,tolong tingkatkan kamar mandi nya,"['tolong', 'tingkatkan', 'kamar', 'mandi', 'nya']"
"saat cek in kamar blm siap, handuk & perlengkapan mandi belum ada.. water heater tidak ada.. fasilitas hotel yang lain cukup ok",linen_P1-neg,linen_P1,neg,cek in kamar blm handuk perlengkapan mandi water heater fasilitas hotel ok,"['cek', 'in', 'kamar', 'blm', 'handuk', 'perlengkapan', 'mandi', 'water', 'heater', 'fasilitas', 'hotel', 'ok']"
"saat cek in kamar blm siap, handuk & perlengkapan mandi belum ada.. water heater tidak ada.. fasilitas hotel yang lain cukup ok",air_panas_P1-neg,air_panas_P1,neg,cek in kamar blm handuk perlengkapan mandi water heater fasilitas hotel ok,"['cek', 'in', 'kamar', 'blm', 'handuk', 'perlengkapan', 'mandi', 'water', 'heater', 'fasilitas', 'hotel', 'ok']"
"satpamnya ramah dan sigap, wifinya kenceng, selain snack airy set ada tambahan coklat silverqueen. tp receptionisnya ga ramah, payah banget kayak keteteran gitu, kerjanya super manual, dan penampilannya kayak emak-emak habis beberes rumah seharian",wifi_P1-pos,wifi_P1,pos,satpamnya ramah sigap wifinya kenceng snack airy set tambahan coklat silverqueen tp receptionisnya ga ramah payah banget kayak keteteran gitu kerjanya super manual penampilannya kayak emakemak habis beberes rumah seharian,"['satpamnya', 'ramah', 'sigap', 'wifinya', 'kenceng', 'snack', 'airy', 'set', 'tambahan', 'coklat', 'silverqueen', 'tp', 'receptionisnya', 'ga', 'ramah', 'payah', 'banget', 'kayak', 'keteteran', 'gitu', 'kerjanya', 'super', 'manual', 'penampilannya', 'kayak', 'emakemak', 'habis', 'beberes', 'rumah', 'seharian']"
"satpamnya ramah dan sigap, wifinya kenceng, selain snack airy set ada tambahan coklat silverqueen. tp receptionisnya ga ramah, payah banget kayak keteteran gitu, kerjanya super manual, dan penampilannya kayak emak-emak habis beberes rumah seharian",linen_P1-pos,linen_P1,pos,satpamnya ramah sigap wifinya kenceng snack airy set tambahan coklat silverqueen tp receptionisnya ga ramah payah banget kayak keteteran gitu kerjanya super manual penampilannya kayak emakemak habis beberes rumah seharian,"['satpamnya', 'ramah', 'sigap', 'wifinya', 'kenceng', 'snack', 'airy', 'set', 'tambahan', 'coklat', 'silverqueen', 'tp', 'receptionisnya', 'ga', 'ramah', 'payah', 'banget', 'kayak', 'keteteran', 'gitu', 'kerjanya', 'super', 'manual', 'penampilannya', 'kayak', 'emakemak', 'habis', 'beberes', 'rumah', 'seharian']"
"satpamnya ramah dan sigap, wifinya kenceng, selain snack airy set ada tambahan coklat silverqueen. tp receptionisnya ga ramah, payah banget kayak keteteran gitu, kerjanya super manual, dan penampilannya kayak emak-emak habis beberes rumah seharian",service-neg,service,neg,satpamnya ramah sigap wifinya kenceng snack airy set tambahan coklat silverqueen tp receptionisnya ga ramah payah banget kayak keteteran gitu kerjanya super manual penampilannya kayak emakemak habis beberes rumah seharian,"['satpamnya', 'ramah', 'sigap', 'wifinya', 'kenceng', 'snack', 'airy', 'set', 'tambahan', 'coklat', 'silverqueen', 'tp', 'receptionisnya', 'ga', 'ramah', 'payah', 'banget', 'kayak', 'keteteran', 'gitu', 'kerjanya', 'super', 'manual', 'penampilannya', 'kayak', 'emakemak', 'habis', 'beberes', 'rumah', 'seharian']"
g ada air panas nya ,air_panas_P1-neg,air_panas_P1,neg,g air panas nya,"['g', 'air', 'panas', 'nya']"
Toilet kurang bersih dan bagus. Kamarnya pun agak bau dan pengap,kebersihan-neg,kebersihan,neg,toilet bersih bagus kamarnya bau pengap,"['toilet', 'bersih', 'bagus', 'kamarnya', 'bau', 'pengap']"
Toilet kurang bersih dan bagus. Kamarnya pun agak bau dan pengap,bau_P1-neg,bau_P1,neg,toilet bersih bagus kamarnya bau pengap,"['toilet', 'bersih', 'bagus', 'kamarnya', 'bau', 'pengap']"
Hot shower tidak bisa. Selebihnya baik.,air_panas_P1-neg,air_panas_P1,neg,hot shower selebihnya,"['hot', 'shower', 'selebihnya']"
Hot shower tidak bisa. Selebihnya baik.,general-pos,general,pos,hot shower selebihnya,"['hot', 'shower', 'selebihnya']"
Kurang sopan,service-neg,service,neg,sopan,['sopan']
"cukup memuaskan,hanya tv yg agak mengecewakan",tv_P1-neg,tv_P1,neg,memuaskanhanya tv yg mengecewakan,"['memuaskanhanya', 'tv', 'yg', 'mengecewakan']"
"petugas ramah, fasilitas lumayan lengkap. kebersihan kurang begitu baik. perlu lebih teliti lagi. ",service-pos,service,pos,petugas ramah fasilitas lumayan lengkap kebersihan teliti,"['petugas', 'ramah', 'fasilitas', 'lumayan', 'lengkap', 'kebersihan', 'teliti']"
"petugas ramah, fasilitas lumayan lengkap. kebersihan kurang begitu baik. perlu lebih teliti lagi. ",kebersihan-neg,kebersihan,neg,petugas ramah fasilitas lumayan lengkap kebersihan teliti,"['petugas', 'ramah', 'fasilitas', 'lumayan', 'lengkap', 'kebersihan', 'teliti']"
handuk kumal kamar mandi kurang bersih tisu di kamar tidak ada,linen_P1-neg,linen_P1,neg,handuk kumal kamar mandi bersih tisu kamar,"['handuk', 'kumal', 'kamar', 'mandi', 'bersih', 'tisu', 'kamar']"
handuk kumal kamar mandi kurang bersih tisu di kamar tidak ada,kebersihan-neg,kebersihan,neg,handuk kumal kamar mandi bersih tisu kamar,"['handuk', 'kumal', 'kamar', 'mandi', 'bersih', 'tisu', 'kamar']"
"Tempatnya secara keseluruhan baik, rapi, bersih. Hanya hot shower tak tersedia",kebersihan-pos,kebersihan,pos,tempatnya rapi bersih hot shower tersedia,"['tempatnya', 'rapi', 'bersih', 'hot', 'shower', 'tersedia']"
"Tempatnya secara keseluruhan baik, rapi, bersih. Hanya hot shower tak tersedia",air_panas_P1-neg,air_panas_P1,neg,tempatnya rapi bersih hot shower tersedia,"['tempatnya', 'rapi', 'bersih', 'hot', 'shower', 'tersedia']"
"Lumayan ayem, sayang ACnya banyak yg rusak jadi kurang dingin",ac_P1-neg,ac_P1,neg,lumayan ayem sayang acnya yg rusak dingin,"['lumayan', 'ayem', 'sayang', 'acnya', 'yg', 'rusak', 'dingin']"
"kamar luas bersih dan staff nya ramah,dari hotelnya cukup puas, box mill ariy nya tidak ada kata pekerja hotel mereka suda email ke pusat ariy tapi blm ada tanggapan dari ariy, tolong ariy direspon dgn cepat, jangan sampai penginap kecewa.  ",kebersihan-pos,kebersihan,pos,kamar luas bersih staff nya ramahdari hotelnya puas box mill ariy nya pekerja hotel suda email pusat ariy blm tanggapan ariy tolong ariy direspon dgn cepat penginap kecewa,"['kamar', 'luas', 'bersih', 'staff', 'nya', 'ramahdari', 'hotelnya', 'puas', 'box', 'mill', 'ariy', 'nya', 'pekerja', 'hotel', 'suda', 'email', 'pusat', 'ariy', 'blm', 'tanggapan', 'ariy', 'tolong', 'ariy', 'direspon', 'dgn', 'cepat', 'penginap', 'kecewa']"
"kamar luas bersih dan staff nya ramah,dari hotelnya cukup puas, box mill ariy nya tidak ada kata pekerja hotel mereka suda email ke pusat ariy tapi blm ada tanggapan dari ariy, tolong ariy direspon dgn cepat, jangan sampai penginap kecewa.  ",service-pos,service,pos,kamar luas bersih staff nya ramahdari hotelnya puas box mill ariy nya pekerja hotel suda email pusat ariy blm tanggapan ariy tolong ariy direspon dgn cepat penginap kecewa,"['kamar', 'luas', 'bersih', 'staff', 'nya', 'ramahdari', 'hotelnya', 'puas', 'box', 'mill', 'ariy', 'nya', 'pekerja', 'hotel', 'suda', 'email', 'pusat', 'ariy', 'blm', 'tanggapan', 'ariy', 'tolong', 'ariy', 'direspon', 'dgn', 'cepat', 'penginap', 'kecewa']"
"kamar luas bersih dan staff nya ramah,dari hotelnya cukup puas, box mill ariy nya tidak ada kata pekerja hotel mereka suda email ke pusat ariy tapi blm ada tanggapan dari ariy, tolong ariy direspon dgn cepat, jangan sampai penginap kecewa.  ",linen_P1-neg,linen_P1,neg,kamar luas bersih staff nya ramahdari hotelnya puas box mill ariy nya pekerja hotel suda email pusat ariy blm tanggapan ariy tolong ariy direspon dgn cepat penginap kecewa,"['kamar', 'luas', 'bersih', 'staff', 'nya', 'ramahdari', 'hotelnya', 'puas', 'box', 'mill', 'ariy', 'nya', 'pekerja', 'hotel', 'suda', 'email', 'pusat', 'ariy', 'blm', 'tanggapan', 'ariy', 'tolong', 'ariy', 'direspon', 'dgn', 'cepat', 'penginap', 'kecewa']"
sesuai picture .. bersih . tp klo mlm gaboleh duduk2 diloby . prioritas buat yg bulanan .,kebersihan-pos,kebersihan,pos,sesuai picture bersih tp klo mlm gaboleh duduk diloby prioritas yg bulanan,"['sesuai', 'picture', 'bersih', 'tp', 'klo', 'mlm', 'gaboleh', 'duduk', 'diloby', 'prioritas', 'yg', 'bulanan']"
"Hotelnya bersih, makanan enak, pelayanan ramah dan baik. Cuma ada 1 yang harus diperbaiki atap bekas bocor di kamar terlihat kotor. Dwi Bidyawati, 16-17 Desember 2017",sunrise_meal_P1-pos,sunrise_meal_P1,pos,hotelnya bersih makanan enak pelayanan ramah diperbaiki atap bekas bocor kamar kotor dwi bidyawati desember,"['hotelnya', 'bersih', 'makanan', 'enak', 'pelayanan', 'ramah', 'diperbaiki', 'atap', 'bekas', 'bocor', 'kamar', 'kotor', 'dwi', 'bidyawati', 'desember']"
"Hotelnya bersih, makanan enak, pelayanan ramah dan baik. Cuma ada 1 yang harus diperbaiki atap bekas bocor di kamar terlihat kotor. Dwi Bidyawati, 16-17 Desember 2017",service-pos,service,pos,hotelnya bersih makanan enak pelayanan ramah diperbaiki atap bekas bocor kamar kotor dwi bidyawati desember,"['hotelnya', 'bersih', 'makanan', 'enak', 'pelayanan', 'ramah', 'diperbaiki', 'atap', 'bekas', 'bocor', 'kamar', 'kotor', 'dwi', 'bidyawati', 'desember']"
"Hotelnya bersih, makanan enak, pelayanan ramah dan baik. Cuma ada 1 yang harus diperbaiki atap bekas bocor di kamar terlihat kotor. Dwi Bidyawati, 16-17 Desember 2017",kebersihan-neg,kebersihan,neg,hotelnya bersih makanan enak pelayanan ramah diperbaiki atap bekas bocor kamar kotor dwi bidyawati desember,"['hotelnya', 'bersih', 'makanan', 'enak', 'pelayanan', 'ramah', 'diperbaiki', 'atap', 'bekas', 'bocor', 'kamar', 'kotor', 'dwi', 'bidyawati', 'desember']"
"sarapannya biasa saja , kebersihan kurang ",sunrise_meal_P1-neg,sunrise_meal_P1,neg,sarapannya kebersihan,"['sarapannya', 'kebersihan']"
"sarapannya biasa saja , kebersihan kurang ",kebersihan-neg,kebersihan,neg,sarapannya kebersihan,"['sarapannya', 'kebersihan']"
"remot tv tidak ada baterai,air panas rusak,kamar kotor,tidaka ada bath math ,berantakan . sudah follow up ke Deva airy tidak ada respon ulang",tv_P1-neg,tv_P1,neg,remot tv bateraiair panas rusakkamar kotortidaka bath math berantakan follow up deva airy respon ulang,"['remot', 'tv', 'bateraiair', 'panas', 'rusakkamar', 'kotortidaka', 'bath', 'math', 'berantakan', 'follow', 'up', 'deva', 'airy', 'respon', 'ulang']"
"remot tv tidak ada baterai,air panas rusak,kamar kotor,tidaka ada bath math ,berantakan . sudah follow up ke Deva airy tidak ada respon ulang",air_panas_P1-neg,air_panas_P1,neg,remot tv bateraiair panas rusakkamar kotortidaka bath math berantakan follow up deva airy respon ulang,"['remot', 'tv', 'bateraiair', 'panas', 'rusakkamar', 'kotortidaka', 'bath', 'math', 'berantakan', 'follow', 'up', 'deva', 'airy', 'respon', 'ulang']"
"remot tv tidak ada baterai,air panas rusak,kamar kotor,tidaka ada bath math ,berantakan . sudah follow up ke Deva airy tidak ada respon ulang",kebersihan-neg,kebersihan,neg,remot tv bateraiair panas rusakkamar kotortidaka bath math berantakan follow up deva airy respon ulang,"['remot', 'tv', 'bateraiair', 'panas', 'rusakkamar', 'kotortidaka', 'bath', 'math', 'berantakan', 'follow', 'up', 'deva', 'airy', 'respon', 'ulang']"
"remot tv tidak ada baterai,air panas rusak,kamar kotor,tidaka ada bath math ,berantakan . sudah follow up ke Deva airy tidak ada respon ulang",service-neg,service,neg,remot tv bateraiair panas rusakkamar kotortidaka bath math berantakan follow up deva airy respon ulang,"['remot', 'tv', 'bateraiair', 'panas', 'rusakkamar', 'kotortidaka', 'bath', 'math', 'berantakan', 'follow', 'up', 'deva', 'airy', 'respon', 'ulang']"
Tidak diingatkan pengembalian uang deposit pd saat check out.,service-neg,service,neg,pengembalian uang deposit pd check out,"['pengembalian', 'uang', 'deposit', 'pd', 'check', 'out']"
"Tembok kamar kotor, channel TV buruk gak bisa nonton byk semut. Tidak ada snack airy dan suasana kamar bukan Airy Style biru putih.",kebersihan-neg,kebersihan,neg,tembok kamar kotor channel tv buruk gak nonton byk semut snack airy suasana kamar airy style biru putih,"['tembok', 'kamar', 'kotor', 'channel', 'tv', 'buruk', 'gak', 'nonton', 'byk', 'semut', 'snack', 'airy', 'suasana', 'kamar', 'airy', 'style', 'biru', 'putih']"
"Tembok kamar kotor, channel TV buruk gak bisa nonton byk semut. Tidak ada snack airy dan suasana kamar bukan Airy Style biru putih.",tv_P1-neg,tv_P1,neg,tembok kamar kotor channel tv buruk gak nonton byk semut snack airy suasana kamar airy style biru putih,"['tembok', 'kamar', 'kotor', 'channel', 'tv', 'buruk', 'gak', 'nonton', 'byk', 'semut', 'snack', 'airy', 'suasana', 'kamar', 'airy', 'style', 'biru', 'putih']"
"Tembok kamar kotor, channel TV buruk gak bisa nonton byk semut. Tidak ada snack airy dan suasana kamar bukan Airy Style biru putih.",linen_P1-neg,linen_P1,neg,tembok kamar kotor channel tv buruk gak nonton byk semut snack airy suasana kamar airy style biru putih,"['tembok', 'kamar', 'kotor', 'channel', 'tv', 'buruk', 'gak', 'nonton', 'byk', 'semut', 'snack', 'airy', 'suasana', 'kamar', 'airy', 'style', 'biru', 'putih']"
"selimutnya bau, ac nya juga suka bunyi, dan saluran kamar mandinya mungkin mampet karna bau pesing",linen_P1-neg,linen_P1,neg,selimutnya bau ac nya suka bunyi saluran kamar mandinya mampet karna bau pesing,"['selimutnya', 'bau', 'ac', 'nya', 'suka', 'bunyi', 'saluran', 'kamar', 'mandinya', 'mampet', 'karna', 'bau', 'pesing']"
"selimutnya bau, ac nya juga suka bunyi, dan saluran kamar mandinya mungkin mampet karna bau pesing",ac_P1-neg,ac_P1,neg,selimutnya bau ac nya suka bunyi saluran kamar mandinya mampet karna bau pesing,"['selimutnya', 'bau', 'ac', 'nya', 'suka', 'bunyi', 'saluran', 'kamar', 'mandinya', 'mampet', 'karna', 'bau', 'pesing']"
"selimutnya bau, ac nya juga suka bunyi, dan saluran kamar mandinya mungkin mampet karna bau pesing",bau_P1-neg,bau_P1,neg,selimutnya bau ac nya suka bunyi saluran kamar mandinya mampet karna bau pesing,"['selimutnya', 'bau', 'ac', 'nya', 'suka', 'bunyi', 'saluran', 'kamar', 'mandinya', 'mampet', 'karna', 'bau', 'pesing']"
suka bgt pke airy.... dihotelnya jg nyaman emg cuma sinyalnya yg susah tp playanan suka dngan harga sgtu cucp abis bsok q pake airy lg klo psan2 hotel,service-pos,service,pos,suka bgt pke airy dihotelnya jg nyaman emg sinyalnya yg susah tp playanan suka dngan harga sgtu cucp abis bsok q pake airy lg klo psan hotel,"['suka', 'bgt', 'pke', 'airy', 'dihotelnya', 'jg', 'nyaman', 'emg', 'sinyalnya', 'yg', 'susah', 'tp', 'playanan', 'suka', 'dngan', 'harga', 'sgtu', 'cucp', 'abis', 'bsok', 'q', 'pake', 'airy', 'lg', 'klo', 'psan', 'hotel']"
"hotel lama cukup terawat, air panas oke, sayang wifi hanya menjangkau lobby",air_panas_P1-pos,air_panas_P1,pos,hotel terawat air panas oke sayang wifi menjangkau lobby,"['hotel', 'terawat', 'air', 'panas', 'oke', 'sayang', 'wifi', 'menjangkau', 'lobby']"
"hotel lama cukup terawat, air panas oke, sayang wifi hanya menjangkau lobby",wifi_P1-neg,wifi_P1,neg,hotel terawat air panas oke sayang wifi menjangkau lobby,"['hotel', 'terawat', 'air', 'panas', 'oke', 'sayang', 'wifi', 'menjangkau', 'lobby']"
"Ini sdh ke 7 kalinya nginap di Airy Grand Trk Mulawarman 21, kamar luas, bersih, menu sarapan  beragam,  cuma Wifi lemot kadang hilang2 trus cover closet lepas, tolong segera di ganti/ diperbaiki, demi kenyaman tamu, ks",kebersihan-pos,kebersihan,pos,sdh kalinya nginap airy grand trk mulawarman kamar luas bersih menu sarapan beragam wifi lemot kadang hilang trus cover closet lepas tolong ganti diperbaiki kenyaman tamu ks,"['sdh', 'kalinya', 'nginap', 'airy', 'grand', 'trk', 'mulawarman', 'kamar', 'luas', 'bersih', 'menu', 'sarapan', 'beragam', 'wifi', 'lemot', 'kadang', 'hilang', 'trus', 'cover', 'closet', 'lepas', 'tolong', 'ganti', 'diperbaiki', 'kenyaman', 'tamu', 'ks']"
"Ini sdh ke 7 kalinya nginap di Airy Grand Trk Mulawarman 21, kamar luas, bersih, menu sarapan  beragam,  cuma Wifi lemot kadang hilang2 trus cover closet lepas, tolong segera di ganti/ diperbaiki, demi kenyaman tamu, ks",sunrise_meal_P1-pos,sunrise_meal_P1,pos,sdh kalinya nginap airy grand trk mulawarman kamar luas bersih menu sarapan beragam wifi lemot kadang hilang trus cover closet lepas tolong ganti diperbaiki kenyaman tamu ks,"['sdh', 'kalinya', 'nginap', 'airy', 'grand', 'trk', 'mulawarman', 'kamar', 'luas', 'bersih', 'menu', 'sarapan', 'beragam', 'wifi', 'lemot', 'kadang', 'hilang', 'trus', 'cover', 'closet', 'lepas', 'tolong', 'ganti', 'diperbaiki', 'kenyaman', 'tamu', 'ks']"
"Ini sdh ke 7 kalinya nginap di Airy Grand Trk Mulawarman 21, kamar luas, bersih, menu sarapan  beragam,  cuma Wifi lemot kadang hilang2 trus cover closet lepas, tolong segera di ganti/ diperbaiki, demi kenyaman tamu, ks",wifi_P1-neg,wifi_P1,neg,sdh kalinya nginap airy grand trk mulawarman kamar luas bersih menu sarapan beragam wifi lemot kadang hilang trus cover closet lepas tolong ganti diperbaiki kenyaman tamu ks,"['sdh', 'kalinya', 'nginap', 'airy', 'grand', 'trk', 'mulawarman', 'kamar', 'luas', 'bersih', 'menu', 'sarapan', 'beragam', 'wifi', 'lemot', 'kadang', 'hilang', 'trus', 'cover', 'closet', 'lepas', 'tolong', 'ganti', 'diperbaiki', 'kenyaman', 'tamu', 'ks']"
"Ini sdh ke 7 kalinya nginap di Airy Grand Trk Mulawarman 21, kamar luas, bersih, menu sarapan  beragam,  cuma Wifi lemot kadang hilang2 trus cover closet lepas, tolong segera di ganti/ diperbaiki, demi kenyaman tamu, ks",linen_P1-neg,linen_P1,neg,sdh kalinya nginap airy grand trk mulawarman kamar luas bersih menu sarapan beragam wifi lemot kadang hilang trus cover closet lepas tolong ganti diperbaiki kenyaman tamu ks,"['sdh', 'kalinya', 'nginap', 'airy', 'grand', 'trk', 'mulawarman', 'kamar', 'luas', 'bersih', 'menu', 'sarapan', 'beragam', 'wifi', 'lemot', 'kadang', 'hilang', 'trus', 'cover', 'closet', 'lepas', 'tolong', 'ganti', 'diperbaiki', 'kenyaman', 'tamu', 'ks']"
kondisi kamar sesuai harga. sprei perlu diganti.,linen_P1-neg,linen_P1,neg,kondisi kamar sesuai harga sprei diganti,"['kondisi', 'kamar', 'sesuai', 'harga', 'sprei', 'diganti']"
kamar jarang dibersihin,kebersihan-neg,kebersihan,neg,kamar jarang dibersihin,"['kamar', 'jarang', 'dibersihin']"
